Journal	JournalFullName	ISSN	eISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
MOL CELL BIOL	MOLECULAR AND CELLULAR BIOLOGY	0270-7306	1098-5549	10.025	9.571	9.866	9.666	9.836	8.84	8.142	7.822	7.093	6.773	6.42	5.942	6.057	6.188	5.527	5.372	5.036	4.777	4.427	4.398	3.813	3.735	3.611	4.272	5.069	5.3	5.3
CURR OPIN GENET DEV	CURRENT OPINION IN GENETICS & DEVELOPMENT	0959-437X	1879-0380	9.984	11.039	12.665	13.81	13.619	12.111	13.143	11.58	9.361	10.006	10.15	9.677	8.987	9.381	8.086	7.47	8.568	7.574	5.784	5.825	4.995	5.288	5.512	5.578	4.665	4.0	4.0
TRENDS GENET	TRENDS IN GENETICS	0168-9525	1362-4555	9.978	11.313	16.342	12.912	12.417	13.216	12.016	14.643	12.047	9.95	9.729	8.659	8.689	11.364	10.064	9.772	11.597	9.918	9.858	10.844	10.556	10.627	11.333	11.639	11.821	11.4	11.4
DEVELOPMENT	DEVELOPMENT	0950-1991	1477-9129	9.781	9.712	10.088	9.353	8.624	7.883	7.663	7.149	7.603	7.764	7.293	6.812	7.194	6.898	6.596	6.208	6.273	6.462	6.059	5.843	5.413	5.763	5.611	6.868	6.862	4.6	4.6
CIRCULATION	CIRCULATION	0009-7322	1524-4539	9.762	9.173	9.903	10.893	10.517	10.255	11.164	12.563	11.632	10.94	12.755	14.595	14.816	14.432	14.739	15.202	14.948	15.073	17.047	19.309	18.88	23.054	23.603	29.69	39.918	37.8	37.8
PLANT CELL	PLANT CELL	1040-4651	1532-298X	9.709	11.757	10.463	11.093	11.081	10.751	10.679	11.295	11.088	9.868	9.653	9.296	9.293	9.396	8.987	9.251	9.575	9.338	8.538	8.688	8.228	8.631	9.618	11.277	12.085	11.6	11.6
J CLIN INVEST	JOURNAL OF CLINICAL INVESTIGATION	0021-9738	1558-8238	9.667	9.315	10.921	12.015	14.118	14.051	14.307	14.204	15.053	15.754	16.915	16.559	15.387	14.152	13.069	12.812	13.765	13.262	12.575	12.784	13.251	12.282	11.864	14.808	19.456	15.9	15.9
ANNU REV ASTRON ASTR	ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS	0066-4146	1545-4282	9.618	9.636	15.067	14.0	7.839	15.581	16.0	18.839	18.567	16.914	20.29	25.826	25.64	27.444	26.452	23.333	24.037	33.346	37.846	30.733	24.912	33.069	32.963	30.065	37.226	33.3	33.3
ANNU REV ASTRON ASTR	ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS	0066-4146	1545-4282	9.618	9.636	15.067	14.0	7.839	15.581	16.0	18.839	18.567	16.914	20.29	25.826	25.64	27.444	26.452	23.333	24.037	33.346	37.846	30.733	24.912	33.069	32.963	30.065	37.226	33.3	33.3
ANN NEUROL	ANNALS OF NEUROLOGY	0364-5134	1531-8249	9.513	9.455	8.321	8.48	8.481	8.603	7.717	8.097	7.571	8.051	8.813	9.935	9.317	10.746	11.089	11.193	11.91	9.977	9.638	9.89	10.244	9.496	9.037	10.422	11.274	11.2	11.2
BLOOD	BLOOD	0006-4971	1528-0020	9.507	8.372	8.782	8.977	9.273	9.631	10.12	9.782	10.131	10.37	10.896	10.432	10.555	10.558	9.898	9.06	9.775	10.452	11.841	13.164	15.132	16.562	17.543	22.113	25.476	20.3	20.3
