Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
J AM SOC NEPHROL	JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY	1046-6673	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.409	2.566	2.757	2.82	2.985	3.25	3.377	3.404	3.288	3.295	3.058	3.224	3.464	4.098	4.098
VITAM HORM	VITAMINS AND HORMONES	0083-6729	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.109	1.182	1.182	0.942	0.847	0.751	0.712	0.622	0.611	0.641	0.546	0.645	0.832	0.664	0.664
MOL CELL NEUROSCI	MOLECULAR AND CELLULAR NEUROSCIENCE	1044-7431	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.809	1.616	1.723	1.541	1.42	1.441	1.312	1.235	1.233	1.186	1.097	0.949	1.094	0.961	0.961
PHYS TODAY	PHYSICS TODAY	0031-9228	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.003	2.823	2.699	2.987	3.063	2.969	2.726	2.204	2.149	1.615	1.531	1.588	1.378	1.55	1.55
PSYCHOL BULL	PSYCHOLOGICAL BULLETIN	0033-2909	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	8.244	8.397	8.202	8.095	9.087	9.618	10.089	10.349	9.248	9.011	9.725	10.18	11.387	11.085	11.085
GENE THER	GENE THERAPY	0969-7128	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.231	1.365	1.238	1.291	1.129	1.078	0.926	1.058	0.97	0.917	0.947	0.927	1.027	0.951	0.951
RNA	RNA	1355-8382	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	2.919	2.804	2.769	2.589	2.606	2.459	2.352	2.303	2.324	2.507	2.469	2.183	2.197	2.126	2.126
ANN SURG	ANNALS OF SURGERY	0003-4932	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.699	2.981	2.92	3.036	2.863	2.808	3.225	3.283	3.298	3.163	3.321	3.166	3.936	3.809	3.809
IMMUNOL REV	IMMUNOLOGICAL REVIEWS	0105-2896	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.25	4.847	5.522	5.319	5.48	5.43	5.01	4.812	4.7	3.991	4.015	4.315	4.923	4.61	4.61
ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION	0199-9885	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.265	4.181	3.34	3.561	3.755	3.51	3.317	3.17	3.564	3.76	3.242	3.975	4.419	3.712	3.712
HEPATOLOGY	HEPATOLOGY	0270-9139	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	3.403	3.065	3.446	3.522	3.606	3.818	3.945	3.837	3.873	4.025	4.148	4.439	5.126	5.523	5.523
J CEREBR BLOOD F MET	JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	0271-678X	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.866	1.808	1.686	1.851	1.867	1.755	1.785	1.881	1.817	1.895	1.791	1.718	1.783	1.88	1.88
J VIROL	JOURNAL OF VIROLOGY	0022-538X	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.575	1.554	1.597	1.593	1.469	1.542	1.455	1.458	1.454	1.342	1.381	1.429	1.653	1.538	1.538
PLANT J	PLANT JOURNAL	0960-7412	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	2.656	2.829	2.533	2.423	2.474	2.538	2.247	2.1	2.166	2.091	2.142	2.112	2.171	1.87	1.87
ANNU REV ENTOMOL	ANNUAL REVIEW OF ENTOMOLOGY	0066-4170	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	4.656	4.866	5.263	5.071	5.331	4.901	5.41	5.221	5.066	4.959	5.272	5.381	5.626	5.678	5.678
J MOL BIOL	JOURNAL OF MOLECULAR BIOLOGY	0022-2836	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.147	2.049	1.847	1.823	1.798	1.735	1.66	1.687	1.88	1.991	2.034	2.048	2.326	2.179	2.179
SEMIN LIVER DIS	SEMINARS IN LIVER DISEASE	0272-8087	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.639	1.524	1.794	2.082	2.154	2.412	2.316	2.608	1.936	1.709	1.523	1.507	1.821	1.721	1.721
BRAIN PATHOL	BRAIN PATHOLOGY	1015-6305	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.788	1.684	1.661	1.645	1.593	1.461	1.325	1.55	1.732	1.832	1.925	1.76	1.914	2.085	2.085
J AM CHEM SOC	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	0002-7863	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.725	2.705	2.753	2.799	3.02	3.072	3.286	3.527	3.789	3.957	3.961	3.993	4.1	3.849	3.849
MOL MICROBIOL	MOLECULAR MICROBIOLOGY	0950-382X	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.364	2.427	2.266	2.156	2.022	2.125	1.883	1.827	1.704	1.591	1.501	1.354	1.42	1.263	1.263
CEREB CORTEX	CEREBRAL CORTEX	1047-3211	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.128	3.211	3.019	2.997	3.117	3.462	3.29	3.383	2.971	2.703	2.558	2.43	2.382	2.128	2.128
GENOME RES	GENOME RESEARCH	1088-9051	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.063	5.622	6.568	7.155	7.473	8.122	8.372	8.238	7.962	8.083	6.768	7.028	7.306	6.457	6.457
ADV ATOM MOL OPT PHY	ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS	1049-250X	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	1.938	1.825	2.015	2.024	1.817	2.547	2.607	2.159	1.853	2.235	2.102	1.422	1.464	1.396	1.396
BRAIN	BRAIN	0006-8950	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.527	3.678	3.766	3.914	4.094	3.874	3.846	4.11	4.068	4.254	4.548	4.474	4.953	5.261	5.261
DIABETOLOGIA	DIABETOLOGIA	0012-186X	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.179	1.983	2.283	2.197	2.327	2.235	2.303	2.347	2.309	2.351	2.237	2.33	2.868	3.174	3.174
MECH DEVELOP	MECHANISMS OF DEVELOPMENT	0925-4773	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.69	1.615	1.447	1.482	1.324	1.158	1.023	0.837	0.623	0.791	0.757	0.799	0.721	0.804	0.804
ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	1079-5642	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.856	2.608	2.578	2.607	2.314	2.194	2.114	2.147	2.096	2.019	1.829	1.823	2.079	2.42	2.42
ECOL MONOGR	ECOLOGICAL MONOGRAPHS	0012-9615	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.106	3.995	4.072	3.745	3.71	3.98	4.238	4.25	4.0	3.862	4.023	4.027	3.819	3.189	3.189
DEV BIOL	DEVELOPMENTAL BIOLOGY	0012-1606	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.281	2.235	1.989	2.046	1.737	1.739	1.525	1.522	1.318	1.362	1.146	1.214	1.28	1.104	1.104
CELL DEATH DIFFER	CELL DEATH AND DIFFERENTIATION	1350-9047	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.5	3.519	3.432	3.239	3.105	2.901	3.022	2.734	2.736	2.64	2.657	2.726	3.185	2.77	2.77
EUR J IMMUNOL	EUROPEAN JOURNAL OF IMMUNOLOGY	0014-2980	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.937	1.878	1.976	2.006	1.97	1.73	1.69	1.589	1.662	1.483	1.435	1.471	1.674	1.686	1.686
INVEST OPHTH VIS SCI	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	0146-0404	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.106	1.098	1.163	1.082	1.114	1.002	0.996	1.107	1.072	1.131	1.132	1.021	1.326	1.192	1.192
MOL BIOL EVOL	MOLECULAR BIOLOGY AND EVOLUTION	0737-4038	2.914	2.914	2.914	2.914	2.914	2.914	2.914	2.914	2.914	2.914	2.914	2.951	3.391	3.604	3.839	4.046	3.846	4.441	5.026	5.301	5.511	5.389	5.159	6.397	6.019	6.019
ADV VIRUS RES	ADVANCES IN VIRUS RESEARCH	0065-3527	1.701	1.701	1.701	1.701	1.701	1.701	1.701	1.701	1.701	1.701	1.701	2.041	2.072	1.857	1.691	1.46	1.585	1.591	1.591	0.0	1.607	1.748	1.689	4.434	3.868	3.868
ADV PARASIT	ADVANCES IN PARASITOLOGY	0065-308X	2.26	2.26	2.26	2.26	2.26	2.26	2.26	2.26	2.26	2.26	2.26	1.952	2.458	1.621	1.323	1.374	1.658	1.615	1.619	1.533	1.607	1.607	1.861	1.922	1.572	1.572
J INVEST MED	JOURNAL OF INVESTIGATIVE MEDICINE	1081-5589	0.624	0.624	0.624	0.624	0.624	0.624	0.624	0.624	0.624	0.624	0.624	0.611	0.52	0.484	0.594	0.602	0.531	0.534	0.524	0.535	0.539	0.572	0.663	0.813	0.732	0.732
J BIOMOL NMR	JOURNAL OF BIOMOLECULAR NMR	0925-2738	0.802	0.802	0.802	0.802	0.802	0.802	0.802	0.802	0.802	0.802	0.802	0.803	0.764	0.869	1.071	1.15	1.291	1.404	1.292	1.056	0.973	0.994	0.849	0.978	0.854	0.854
MED RES REV	MEDICINAL RESEARCH REVIEWS	0198-6325	2.529	2.529	2.529	2.529	2.529	2.529	2.529	2.529	2.529	2.529	2.529	2.313	2.286	2.38	2.736	2.727	2.43	2.137	2.231	2.201	2.087	2.096	2.144	2.347	2.116	2.116
J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES	0022-1899	2.051	2.051	2.051	2.051	2.051	2.051	2.051	2.051	2.051	2.051	2.051	2.062	2.117	2.346	2.287	2.144	2.25	2.296	2.382	2.364	2.109	2.164	2.172	2.435	2.316	2.316
J CLIN PSYCHOPHARM	JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY	0271-0749	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.275	1.302	1.267	1.324	1.343	1.19	0.967	1.002	0.996	0.818	0.823	0.86	0.992	0.957	0.957
TRENDS BIOTECHNOL	TRENDS IN BIOTECHNOLOGY	0167-7799	2.821	2.821	2.821	2.821	2.821	2.821	2.821	2.821	2.821	2.821	2.821	2.66	2.668	2.845	2.837	2.922	3.07	3.56	3.513	3.85	3.876	3.936	3.797	4.445	4.082	4.082
J CELL SCI	JOURNAL OF CELL SCIENCE	0021-9533	3.318	3.318	3.318	3.318	3.318	3.318	3.318	3.318	3.318	3.318	3.318	3.298	3.246	3.176	3.012	2.883	2.717	2.529	2.334	2.177	2.107	1.939	1.866	2.033	1.876	1.876
AIDS	AIDS	0269-9370	2.022	2.022	2.022	2.022	2.022	2.022	2.022	2.022	2.022	2.022	2.022	1.921	1.825	2.317	2.21	2.221	2.174	2.167	1.894	1.911	1.816	1.879	1.945	2.012	1.873	1.873
MOL MED	MOLECULAR MEDICINE	1076-1551	1.237	1.237	1.237	1.237	1.237	1.237	1.237	1.237	1.237	1.237	1.237	1.361	1.552	1.769	1.46	1.492	1.61	1.576	1.523	1.301	1.14	1.093	1.033	1.264	1.226	1.226
ANNU REV EARTH PL SC	ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES	0084-6597	6.191	6.191	6.191	6.191	6.191	6.191	6.191	6.191	6.191	6.191	6.191	6.447	5.994	6.238	5.426	5.882	6.834	6.31	6.023	6.637	5.486	5.511	5.614	6.88	6.189	6.189
ANNU REV FLUID MECH	ANNUAL REVIEW OF FLUID MECHANICS	0066-4189	7.552	7.552	7.552	7.552	7.552	7.552	7.552	7.552	7.552	7.552	7.552	7.86	8.52	7.998	7.439	7.403	8.148	7.769	8.497	7.383	7.66	7.69	7.246	7.697	8.5	8.5
PROG NEUROBIOL	PROGRESS IN NEUROBIOLOGY	0301-0082	4.84	4.84	4.84	4.84	4.84	4.84	4.84	4.84	4.84	4.84	4.84	4.745	4.353	4.112	3.498	3.387	3.48	3.553	3.739	3.909	4.212	3.696	3.252	3.549	3.041	3.041
RADIOLOGY	RADIOLOGY	0033-8419	2.059	2.059	2.059	2.059	2.059	2.059	2.059	2.059	2.059	2.059	2.059	1.979	2.034	2.096	2.096	2.277	2.242	2.548	2.538	2.477	2.499	2.565	2.521	2.986	4.249	4.249
HYPERTENSION	HYPERTENSION	0194-911X	2.12	2.12	2.12	2.12	2.12	2.12	2.12	2.12	2.12	2.12	2.12	2.206	2.21	2.178	2.185	2.195	2.344	2.215	2.229	2.098	2.188	2.248	2.438	2.635	3.074	3.074
MOL PHARMACOL	MOLECULAR PHARMACOLOGY	0026-895X	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.664	1.559	1.531	1.518	1.505	1.535	1.435	1.279	1.319	1.31	1.227	1.129	1.207	1.183	1.183
ATOM DATA NUCL DATA	ATOMIC DATA AND NUCLEAR DATA TABLES	0092-640X	1.752	1.752	1.752	1.752	1.752	1.752	1.752	1.752	1.752	1.752	1.752	1.388	1.62	1.197	0.773	0.718	0.749	0.83	0.718	0.868	1.226	1.754	1.056	1.366	1.334	1.334
J COGNITIVE NEUROSCI	JOURNAL OF COGNITIVE NEUROSCIENCE	0898-929X	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.528	2.685	2.415	2.513	2.349	2.21	2.001	1.936	1.75	1.627	1.545	1.451	1.484	1.387	1.387
ANNU REV PSYCHOL	ANNUAL REVIEW OF PSYCHOLOGY	0066-4308	9.107	9.107	9.107	9.107	9.107	9.107	9.107	9.107	9.107	9.107	9.107	8.56	10.147	10.224	11.324	12.87	11.942	12.229	11.174	13.129	12.492	12.973	11.529	13.453	12.257	12.257
CHEM-EUR J	CHEMISTRY-A EUROPEAN JOURNAL	0947-6539	1.742	1.742	1.742	1.742	1.742	1.742	1.742	1.742	1.742	1.742	1.742	1.724	1.594	1.605	1.532	1.478	1.406	1.433	1.407	1.335	1.26	1.152	1.097	1.073	0.974	0.974
CRIT REV TOXICOL	CRITICAL REVIEWS IN TOXICOLOGY	1040-8444	1.922	1.922	1.922	1.922	1.922	1.922	1.922	1.922	1.922	1.922	1.922	1.987	1.821	1.651	1.788	1.707	1.714	1.642	1.731	1.591	1.469	1.416	1.373	1.461	1.296	1.296
CLIN PHARMACOL THER	CLINICAL PHARMACOLOGY & THERAPEUTICS	0009-9236	1.664	1.664	1.664	1.664	1.664	1.664	1.664	1.664	1.664	1.664	1.664	2.024	2.151	2.111	1.943	1.947	2.132	2.12	2.263	2.189	2.055	1.884	1.919	1.984	1.869	1.869
ANAL CHEM	ANALYTICAL CHEMISTRY	0003-2700	1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.681	1.492	1.532	1.553	1.533	1.504	1.449	1.403	1.402	1.371	1.348	1.412	1.382	1.297	1.297
AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	1073-449X	2.877	2.877	2.877	2.877	2.877	2.877	2.877	2.877	2.877	2.877	2.877	3.122	3.415	3.483	3.701	3.873	3.88	4.325	4.286	4.65	5.016	5.548	5.706	7.251	8.164	8.164
ALDRICHIM ACTA	ALDRICHIMICA ACTA	0002-5100	4.398	4.398	4.398	4.398	4.398	4.398	4.398	4.398	4.398	4.398	4.398	4.911	5.095	4.84	5.252	4.461	4.419	4.671	4.515	3.981	2.839	1.561	1.221	1.235	1.081	1.081
GENE CHROMOSOME CANC	GENES CHROMOSOMES & CANCER	1045-2257	1.592	1.592	1.592	1.592	1.592	1.592	1.592	1.592	1.592	1.592	1.592	1.396	1.358	1.529	1.375	1.347	1.434	1.374	1.33	1.286	1.065	1.051	1.064	1.143	1.102	1.102
LAB INVEST	LABORATORY INVESTIGATION	0023-6837	1.397	1.397	1.397	1.397	1.397	1.397	1.397	1.397	1.397	1.397	1.397	1.389	1.518	1.626	1.503	1.398	1.335	1.239	1.248	1.275	1.237	1.161	1.154	1.253	1.241	1.241
ANESTHESIOLOGY	ANESTHESIOLOGY	0003-3022	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.242	1.341	1.493	1.545	1.587	1.708	1.888	1.812	1.89	1.946	1.983	2.189	2.486	2.589	2.589
PHARMACOL THERAPEUT	PHARMACOLOGY & THERAPEUTICS	0163-7258	2.717	2.717	2.717	2.717	2.717	2.717	2.717	2.717	2.717	2.717	2.717	3.19	3.021	2.97	2.946	2.719	2.624	2.688	2.617	2.889	2.871	2.853	2.858	2.961	2.767	2.767
ANNU REV PHYTOPATHOL	ANNUAL REVIEW OF PHYTOPATHOLOGY	0066-4286	4.632	4.632	4.632	4.632	4.632	4.632	4.632	4.632	4.632	4.632	4.632	4.093	5.377	5.024	4.475	4.357	4.713	4.525	3.775	3.994	3.837	4.298	4.604	4.926	4.503	4.503
CRIT REV PLANT SCI	CRITICAL REVIEWS IN PLANT SCIENCES	0735-2689	2.145	2.145	2.145	2.145	2.145	2.145	2.145	2.145	2.145	2.145	2.145	2.121	2.305	2.038	2.106	1.737	1.994	1.708	1.775	1.732	1.791	1.866	1.901	2.04	1.834	1.834
PROTEIN SCI	PROTEIN SCIENCE	0961-8368	1.646	1.646	1.646	1.646	1.646	1.646	1.646	1.646	1.646	1.646	1.646	1.584	1.427	1.331	1.311	1.204	1.32	1.189	1.234	1.152	1.158	1.142	1.443	2.08	2.873	2.873
J INVEST DERMATOL	JOURNAL OF INVESTIGATIVE DERMATOLOGY	0022-202X	1.534	1.534	1.534	1.534	1.534	1.534	1.534	1.534	1.534	1.534	1.534	1.506	1.606	1.8	1.956	1.973	1.925	2.087	2.197	2.136	2.117	2.123	2.095	2.299	2.275	2.275
THROMB HAEMOSTASIS	THROMBOSIS AND HAEMOSTASIS	0340-6245	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.102	1.093	1.124	1.284	1.415	1.59	1.488	1.601	1.636	1.495	1.392	1.356	1.554	1.777	1.777
J CLIN ENDOCR METAB	JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM	0021-972X	1.797	1.797	1.797	1.797	1.797	1.797	1.797	1.797	1.797	1.797	1.797	1.802	1.833	1.909	2.003	2.104	1.993	2.061	1.963	2.033	2.001	1.957	1.833	2.058	1.938	1.938
BIOCHEMISTRY-US	BIOCHEMISTRY	0006-2960	1.449	1.449	1.449	1.449	1.449	1.449	1.449	1.449	1.449	1.449	1.449	1.394	1.314	1.264	1.268	1.205	1.202	1.155	1.112	1.075	1.073	1.05	1.035	1.033	0.968	0.968
MATER CORROS	MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION	0947-5117	0.328	0.328	0.328	0.328	0.328	0.328	0.328	0.328	0.328	0.328	0.328	0.286	0.248	0.236	0.301	0.271	0.306	0.346	0.287	0.279	0.262	0.267	0.256	0.276	0.256	0.256
GUT	GUT	0017-5749	2.489	2.489	2.489	2.489	2.489	2.489	2.489	2.489	2.489	2.489	2.489	2.59	2.867	3.128	3.258	3.417	4.147	4.199	4.584	5.198	5.593	5.499	5.92	7.318	7.988	7.988
PROG LIPID RES	PROGRESS IN LIPID RESEARCH	0163-7827	5.139	5.139	5.139	5.139	5.139	5.139	5.139	5.139	5.139	5.139	5.139	4.979	4.554	4.025	4.043	3.626	3.867	3.886	3.718	3.666	3.14	3.567	3.576	3.389	3.418	3.418
NEUROLOGY	NEUROLOGY	0028-3878	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.089	2.309	2.568	2.672	2.983	2.797	2.974	3.01	2.984	3.102	3.328	3.137	3.591	3.707	3.707
CLIN PHARMACOKINET	CLINICAL PHARMACOKINETICS	0312-5963	1.202	1.202	1.202	1.202	1.202	1.202	1.202	1.202	1.202	1.202	1.202	1.307	1.399	1.384	1.428	1.603	1.704	1.755	1.663	1.554	1.316	1.466	1.419	1.559	1.42	1.42
NAT PROD REP	NATURAL PRODUCT REPORTS	0265-0568	2.793	2.793	2.793	2.793	2.793	2.793	2.793	2.793	2.793	2.793	2.793	2.714	3.045	2.818	2.976	3.132	3.238	3.173	3.452	3.296	3.465	3.463	3.309	3.508	3.618	3.618
MEDICINE	MEDICINE	0025-7974	2.168	2.168	2.168	2.168	2.168	2.168	2.168	2.168	2.168	2.168	2.168	2.005	2.023	1.927	1.732	1.723	1.707	1.91	0.796	0.521	0.588	0.552	0.507	0.576	0.482	0.482
PROG NUCL MAG RES SP	PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY	0079-6565	2.912	2.912	2.912	2.912	2.912	2.912	2.912	2.912	2.912	2.912	2.912	2.885	2.819	2.561	2.346	2.286	2.403	2.383	2.702	2.874	3.246	2.814	2.457	2.699	2.751	2.751
J GEN PHYSIOL	JOURNAL OF GENERAL PHYSIOLOGY	0022-1295	2.046	2.046	2.046	2.046	2.046	2.046	2.046	2.046	2.046	2.046	2.046	2.335	2.19	2.274	1.782	1.932	1.758	1.901	1.887	1.798	1.805	1.695	1.496	1.566	1.417	1.417
ENDOCRINOLOGY	ENDOCRINOLOGY	0013-7227	1.644	1.644	1.644	1.644	1.644	1.644	1.644	1.644	1.644	1.644	1.644	1.669	1.62	1.651	1.503	1.49	1.541	1.447	1.375	1.409	1.317	1.173	1.119	1.254	1.17	1.17
BIOPHYS J	BIOPHYSICAL JOURNAL	0006-3495	1.987	1.987	1.987	1.987	1.987	1.987	1.987	1.987	1.987	1.987	1.987	2.09	1.919	1.957	1.65	1.612	1.588	1.538	1.522	1.543	1.501	1.515	1.518	1.468	1.281	1.281
STROKE	STROKE	0039-2499	2.121	2.121	2.121	2.121	2.121	2.121	2.121	2.121	2.121	2.121	2.121	2.06	2.115	2.03	2.181	2.264	2.182	2.14	2.213	2.213	2.274	2.248	2.375	2.578	3.123	3.123
NEUROIMAGE	NEUROIMAGE	1053-8119	2.459	2.459	2.459	2.459	2.459	2.459	2.459	2.459	2.459	2.459	2.459	2.317	2.386	2.274	2.162	2.285	2.214	2.257	2.325	2.443	2.313	2.289	2.24	2.326	2.289	2.289
PLANT PHYSIOL	PLANT PHYSIOLOGY	0032-0889	2.522	2.522	2.522	2.522	2.522	2.522	2.522	2.522	2.522	2.522	2.522	2.285	2.378	2.226	2.219	2.269	2.382	2.351	2.172	2.357	2.113	2.182	2.343	2.464	2.121	2.121
MAT SCI ENG R	MATERIALS SCIENCE & ENGINEERING R-REPORTS	0927-796X	9.053	9.053	9.053	9.053	9.053	9.053	9.053	9.053	9.053	9.053	9.053	8.192	8.458	8.17	5.695	6.557	6.036	6.488	5.824	6.933	7.183	7.894	7.365	7.133	5.863	5.863
GENETICS	GENETICS	0016-6731	2.199	2.199	2.199	2.199	2.199	2.199	2.199	2.199	2.199	2.199	2.199	1.989	1.966	1.976	1.903	1.886	2.04	2.339	2.318	2.371	2.522	2.206	2.144	2.138	1.878	1.878
J NEUROPATH EXP NEUR	JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY	0022-3069	1.773	1.773	1.773	1.773	1.773	1.773	1.773	1.773	1.773	1.773	1.773	1.818	1.68	1.557	1.573	1.482	1.495	1.386	1.421	1.402	1.356	1.216	1.185	1.284	1.079	1.079
AM J MED	AMERICAN JOURNAL OF MEDICINE	0002-9343	1.818	1.818	1.818	1.818	1.818	1.818	1.818	1.818	1.818	1.818	1.818	1.725	1.802	1.828	1.793	1.831	1.867	1.975	2.065	2.148	2.121	2.126	1.989	2.103	1.98	1.98
J NEUROCHEM	JOURNAL OF NEUROCHEMISTRY	0022-3042	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.504	1.382	1.425	1.333	1.295	1.234	1.197	1.176	1.16	1.265	1.224	1.167	1.364	1.299	1.299
OSTEOPOROSIS INT	OSTEOPOROSIS INTERNATIONAL	0937-941X	1.347	1.347	1.347	1.347	1.347	1.347	1.347	1.347	1.347	1.347	1.347	1.468	1.485	1.382	1.501	1.369	1.293	1.284	1.118	1.141	1.167	1.154	1.133	1.239	1.193	1.193
NEUROBIOL DIS	NEUROBIOLOGY OF DISEASE	0969-9961	1.528	1.528	1.528	1.528	1.528	1.528	1.528	1.528	1.528	1.528	1.528	1.607	1.52	1.575	1.681	1.727	1.743	1.662	1.709	1.629	1.711	1.655	1.611	1.647	1.643	1.643
SYST BIOL	SYSTEMATIC BIOLOGY	1063-5157	4.668	4.668	4.668	4.668	4.668	4.668	4.668	4.668	4.668	4.668	4.668	4.668	4.325	4.363	4.639	5.057	5.467	6.081	6.448	5.178	5.557	4.367	3.969	5.032	4.923	4.923
NUCLEIC ACIDS RES	NUCLEIC ACIDS RESEARCH	0305-1048	2.898	2.898	2.898	2.898	2.898	2.898	2.898	2.898	2.898	2.898	2.898	2.964	3.001	3.012	3.007	3.271	3.377	3.492	3.645	3.838	4.279	4.48	4.723	5.793	5.507	5.507
AM J RESP CELL MOL	AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY	1044-1549	1.559	1.559	1.559	1.559	1.559	1.559	1.559	1.559	1.559	1.559	1.559	1.545	1.561	1.635	1.673	1.475	1.407	1.552	1.365	1.304	1.296	1.383	1.603	2.053	2.15	2.15
ANNU REV MED	ANNUAL REVIEW OF MEDICINE	0066-4219	4.301	4.301	4.301	4.301	4.301	4.301	4.301	4.301	4.301	4.301	4.301	3.834	4.144	4.246	4.34	4.839	5.289	5.056	4.997	5.258	4.513	4.17	4.536	5.667	4.559	4.559
PROTEINS	PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS	0887-3585	1.474	1.474	1.474	1.474	1.474	1.474	1.474	1.474	1.474	1.474	1.474	1.606	1.285	1.241	1.224	1.171	1.158	1.105	1.083	0.993	0.93	0.859	0.848	1.096	1.141	1.141
ANNU REV NUCL PART S	ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE	0163-8998	5.413	5.413	5.413	5.413	5.413	5.413	5.413	5.413	5.413	5.413	5.413	5.274	6.151	4.681	4.531	4.336	3.953	4.366	4.028	3.234	3.98	3.019	2.894	3.977	5.359	5.359
CANCER METAST REV	CANCER AND METASTASIS REVIEWS	0167-7659	2.096	2.096	2.096	2.096	2.096	2.096	2.096	2.096	2.096	2.096	2.096	2.465	3.242	3.081	3.919	3.447	3.055	2.784	1.834	1.723	1.757	1.778	1.693	2.263	1.999	1.999
